territory,year,area,code,surface,WeWorld Index Italia,Sottoindice Contesto,Sottoindice Minori,Sottoindice Donne,Contesto: Ambiente,Contesto: Abitazione,Contesto: Digitalizzazione,Contesto: Sicurezza e protezione,Contesto: Violenza contro donne e bambini,Minori: Salute,Minori: Istruzione,Minori: Povertà educativa,Minori: Capitale umano,Minori: Capitale economico,Donne: Salute,Donne: Educazione,Donne: Opportunità economiche,Donne: Conciliazione vita-lavoro,Donne: Partecipazione politica,Indicatore 1,Indicatore 2,Indicatore 3,Indicatore 4,Indicatore 5,Indicatore 6,Indicatore 7,Indicatore 8,Indicatore 9,Indicatore 10,Indicatore 11,Indicatore 12,Indicatore 13,Indicatore 14,Indicatore 15,Indicatore 16,Indicatore 17,Indicatore 18,Indicatore 19,Indicatore 20,Indicatore 21,Indicatore 22,Indicatore 23,Indicatore 24,Indicatore 25,Indicatore 26,Indicatore 27,Indicatore 28,Indicatore 29,Indicatore 30,Indicatore 1 (dato),Indicatore 2 (dato),Indicatore 3 (dato),Indicatore 4 (dato),Indicatore 5 (dato),Indicatore 6 (dato),Indicatore 7 (dato),Indicatore 8 (dato),Indicatore 9 (dato),Indicatore 10 (dato),Indicatore 11 (dato),Indicatore 12 (dato),Indicatore 13 (dato),Indicatore 14 (dato),Indicatore 15 (dato),Indicatore 16 (dato),Indicatore 17 (dato),Indicatore 18 (dato),Indicatore 19 (dato),Indicatore 20 (dato),Indicatore 21 (dato),Indicatore 22 (dato),Indicatore 23 (dato),Indicatore 24 (dato),Indicatore 25 (dato),Indicatore 26 (dato),Indicatore 27 (dato),Indicatore 28 (dato),Indicatore 29 (dato),Indicatore 30 (dato),Popolazione (totale),Popolazione (0-17),Popolazione (donne),Popolazione (0-13),EU Social Progress Index 2.0,Subnational HDI,PIL per abitante
Abruzzo,2018,Sud,13.0,10831.838800000001,42.5,42.8,60.6,29.5,61.4,58.7,10.7,61.2,61.5,68.3,65.3,57.2,69.1,46.6,38.3,23.7,27.2,51.1,17.7,59.6,63.2,51.6,65.8,11.1,10.2,63.0,59.3,68.8,54.2,40.2,96.4,68.3,62.2,104.0,10.4,84.4,53.8,73.1,20.0,44.0,32.7,42.7,4.69,17.2,37.1,43.2,59.0,28.1,7.37,14.0,463.0,9.1,16.2,11.32553770199352,12.5,0.5,9.1,0.19715961993540065,27.9961359657067,29.9,896.4941176470588,31.7,37.8,8.4,8.9,66.7,27.9,10.2,25112.592402178914,66.0,55.7,31.8,6.8,24.5694108248437,31.1,23.0,80.6,23.8,6.5,1306059.0,198756.0,669327.0,152404.0,,0.891,25112.592402178914
Abruzzo,2019,Sud,13.0,10831.838800000001,46.0,44.9,57.5,37.7,66.2,55.7,17.3,61.4,46.7,65.5,64.3,52.7,73.5,38.5,40.5,30.9,30.6,60.0,33.0,69.1,63.2,36.7,74.7,16.2,18.4,63.0,59.8,35.3,58.0,35.7,95.3,67.0,61.6,94.0,11.4,85.6,61.3,56.5,20.6,45.5,35.4,55.8,6.13,24.2,37.1,45.5,74.4,38.1,27.8,11.875,463.0,11.9,12.0,16.35086083808394,18.65,0.5,9.0,0.4518814082432207,25.65650487988441,31.2,901.6987951807229,33.0,38.4,9.9,9.5,67.7,31.8,16.5,25388.41410082479,66.3,56.5,34.8,7.6,22.5096543761741,31.1,23.9,87.9,27.475,16.1,1300645.0,195749.0,665584.0,149682.0,,0.896,25388.41410082479
Abruzzo,2020,Sud,13.0,10831.838800000001,49.8,53.6,55.8,41.2,65.7,47.8,25.8,79.4,68.7,59.8,62.2,50.3,68.4,42.3,50.4,33.7,29.8,62.1,38.0,65.7,65.7,31.4,64.3,25.1,26.6,83.4,75.4,75.5,61.8,39.5,80.1,65.5,59.0,92.6,7.96,85.9,50.9,67.8,16.7,48.6,52.1,62.3,5.05,23.2,36.4,49.4,74.8,48.2,27.8,12.625,454.0,12.9,16.9,25.22960726805038,24.8,0.2,5.5,0.15152146490952276,23.31687379406212,30.1,972.2847682119206,34.5,41.0,10.1,7.4,67.9,26.4,12.2,23553.8,66.9,61.4,36.3,7.0,22.8090762982458,30.9,25.4,88.1,31.15,16.1,1293941.0,192796.0,662198.0,146815.0,,0.891,23553.8
Abruzzo,2021,Sud,13.0,10831.838800000001,49.7,54.0,53.9,42.3,67.3,53.6,37.6,73.5,45.9,56.7,60.2,58.5,48.6,47.0,46.7,42.7,30.6,51.5,43.1,70.2,64.3,45.2,62.0,40.5,34.7,76.1,70.9,53.7,38.0,36.3,77.2,64.0,56.4,107.0,10.3,86.4,10.8,71.2,22.7,48.1,45.3,75.7,9.71,24.8,36.4,49.9,53.0,58.3,27.8,11.625,459.0,10.3,18.0,40.67288557830574,30.950000000000003,0.3,6.5,0.30605889491314814,37.87681443703413,31.05,986.1360544217687,36.0,43.6,8.0,8.8,68.3,5.6,10.9,26343.91404380133,66.8,59.4,39.4,9.6,22.3088272234227,30.9,25.6,77.8,34.825,16.1,1281012.0,191175.0,655427.0,144962.0,,0.896,26343.91404380133
Abruzzo,2022,Sud,13.0,10831.838800000001,51.3,54.8,55.7,44.4,65.6,59.6,47.7,61.1,43.2,48.6,60.6,54.1,65.4,51.3,49.6,44.4,31.7,51.1,48.1,65.2,65.9,67.0,52.3,52.4,42.9,57.2,65.1,53.2,33.3,33.0,64.2,64.4,56.9,98.0,10.3,86.5,44.3,75.2,27.5,48.1,51.1,77.0,11.9,26.7,36.8,56.1,46.1,68.4,27.8,12.75,453.0,6.2,22.6,52.52662104183764,37.1,0.6,7.8,0.31,40.75924287613831,32.0,1046.2941176470588,35.6,43.1,9.3,8.8,68.4,23.0,9.4,28611.4639566821,66.8,61.1,39.7,10.8,21.7670442974072,31.0,28.0,74.5,38.5,16.1,1275950.0,188767.0,651788.0,142296.0,,0.901,28611.4639566821
Abruzzo,2023,Sud,13.0,10831.838800000001,51.3,53.7,58.0,43.5,65.6,64.8,50.2,62.0,33.8,48.6,61.1,54.8,74.8,53.9,42.4,38.8,37.0,52.9,48.1,65.2,65.9,67.0,62.6,57.4,42.9,57.2,66.9,34.4,33.3,33.0,64.2,64.3,57.9,99.3,10.3,90.1,59.6,75.2,32.6,41.9,42.9,67.9,9.71,37.2,36.8,56.1,49.7,68.4,27.8,12.75,453.0,6.2,17.7,57.54211836522182,37.1,0.6,7.4,0.46,40.75924287613831,32.0,1046.2941176470588,35.7,42.1,9.1,8.8,71.2,30.9,9.4,31011.722130438204,65.6,58.7,37.6,9.6,18.6258950637375,31.0,28.0,76.2,38.5,16.1,1272627.0,186118.0,649948.0,139315.0,87.3,,31011.722130438204
Basilicata,2018,Sud,17.0,10073.32,36.4,44.6,50.8,21.2,82.9,74.5,9.96,54.8,52.3,51.6,57.2,50.3,67.1,34.0,34.0,29.9,27.9,35.0,4.37,73.7,92.1,75.5,73.4,6.0,13.9,32.4,77.2,64.0,40.5,43.2,59.9,61.8,52.6,86.6,14.0,77.7,56.5,52.5,15.5,36.2,31.7,51.9,7.92,16.7,39.1,26.9,43.1,4.98,3.75,10.85714285714286,356.0,4.6,12.6,6.22423624603028,15.3,1.1,5.1,0.230511279781337,36.333628057765985,29.0,1066.3898305084747,38.2,47.4,11.0,11.1,61.4,29.3,18.0,22955.945754279604,64.5,55.4,33.9,8.6,24.7287355181543,31.7,16.7,73.1,15.4,4.8,562968.0,84825.0,286113.0,62917.0,,0.865,22955.945754279604
Basilicata,2019,Sud,17.0,10073.32,40.1,54.7,51.2,22.9,83.7,76.3,18.8,83.2,49.2,50.9,58.5,48.6,66.0,37.0,33.5,34.2,25.5,49.7,4.37,75.0,92.4,73.9,78.7,12.4,25.2,83.4,83.0,64.0,34.4,31.7,70.1,62.1,54.8,81.9,15.4,79.3,52.6,58.8,15.1,44.5,22.5,63.1,5.23,12.5,38.4,36.7,62.6,4.98,3.75,10.57142857142857,355.0,4.9,10.1,12.624724250146398,23.8,0.2,3.8,0.230511279781337,40.11644797366,32.4,1019.0666666666667,37.9,45.2,11.7,11.9,62.7,27.3,15.6,22795.42336211549,66.1,52.7,36.5,7.1,25.9703480143641,31.5,20.5,82.3,15.4,4.8,558587.0,82612.0,283890.0,61144.0,,0.867,22795.42336211549
Basilicata,2020,Sud,17.0,10073.32,37.8,56.4,43.5,22.0,84.3,74.6,28.1,73.7,43.8,49.4,56.0,38.1,61.7,23.9,43.4,25.5,25.3,42.6,4.37,76.3,92.3,68.9,80.4,19.7,36.5,63.0,84.4,64.0,23.5,27.6,71.1,60.5,51.6,69.2,6.97,80.1,43.4,36.9,10.9,47.6,39.2,46.2,4.69,12.8,37.8,39.3,45.8,4.98,3.75,10.28571428571429,355.5,5.85,9.3,19.91423991102499,32.3,0.5,3.5,0.230511279781337,46.723798437132345,33.6,1014.0338983050848,39.55,48.35,13.6,6.8,63.3,22.5,23.9,20817.6,66.7,57.6,32.6,6.8,25.8744739604676,31.3,21.5,74.4,15.4,4.8,553254.0,80749.0,281104.0,59828.0,,0.865,20817.6
Basilicata,2021,Sud,17.0,10073.32,41.1,64.6,45.2,23.8,87.1,73.3,37.3,84.8,55.9,44.7,53.6,54.7,44.2,32.7,36.2,38.1,27.5,46.3,4.37,82.0,92.1,63.8,82.7,26.7,47.8,83.4,86.1,64.0,47.7,25.2,64.3,58.8,48.5,102.0,7.47,80.1,8.29,48.0,17.3,39.3,33.1,65.3,11.0,17.2,37.8,45.0,47.5,4.98,3.75,9.0,356.0,6.8,8.2,26.87728823511536,40.8,0.2,3.1,0.230511279781337,31.93192307205988,34.3,1045.9285714285713,41.2,51.5,8.7,7.1,63.3,4.3,19.7,23824.082870557904,65.1,55.8,37.0,10.3,24.5717451827728,31.3,23.7,75.2,15.4,4.8,545130.0,79087.0,277141.0,58572.0,,0.872,23824.082870557904
